key,status,group_index,family,imagespace_enum,imagespace_class,stage,descriptor_hex,dxbc_sha256_1_6,raw_hlsl_sha256_1_6,contract_sha256_1_6,dxbc_sha256_1_7,raw_hlsl_sha256_1_7,contract_sha256_1_7,canonical_source,source_disposition
6|PS|33704449,changed,6,Lighting,,,PS,0x02024A01,041593AC9DAA1CBC7981443F1A5122B6FCCD3FCA65C8638B89DBC4359BC2370E,CE3F5A6A0CB76F5F90C44BB9BF8EDB08CE36FFFED1DC272F8C58409AB84C3C31,38D456F6C62134FF7B4539CD3B751939530129D535472092F756721B9436FD0F,73A4ACB01D139AC4E4F261F184224F02B842E31A70F92467B086EE327B5CCE81,5B7D55ABC1231E02E766D86C7981F565A57BF491436D908CEAD2559CA564AC1A,38D456F6C62134FF7B4539CD3B751939530129D535472092F756721B9436FD0F,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33705985,changed,6,Lighting,,,PS,0x02025001,E74BEA0C3A7D9609F26AA295C5B4B7242498F35CC0E41FDA0E04E6E04BA2C175,D37BF54694E0ECA15D34D6467C01BA52C8133BFA04E56BE9BCD922E8436F0B2F,E17761371BAC999A7D81D7318E3BC219E900884381945FFB2CA17B11477B897D,0F0890B9ABA41E46D8E41F429A79C97619A0512F7AD5A09FFCEB5A4C6392F089,A254FFE8EF557B706E8C4E369DB0353B52E04E7BB1C3AAEBEF9EC7E1297E110B,E17761371BAC999A7D81D7318E3BC219E900884381945FFB2CA17B11477B897D,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33706497,changed,6,Lighting,,,PS,0x02025201,0112566414D204E58F46E826179A6F9A950293C95F0BB8696DF2534079B44D9E,89C740282A02AC520AF5C1A6D4FB7C74DC61AB86213A78F874D259D0E11F5504,E17761371BAC999A7D81D7318E3BC219E900884381945FFB2CA17B11477B897D,4DEA8C6C2F8D7A0E4AC420A7C2B3CDB344D8E83BF161702A1D8737A5B260FFAD,CE7860B26DC7476108C7796989A4E45F65A6CED42FE6D1D04147EC6323522758,E17761371BAC999A7D81D7318E3BC219E900884381945FFB2CA17B11477B897D,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33710081,changed,6,Lighting,,,PS,0x02026001,AF88A26B74F2036D64E7E1D554870340AF7FB12F94D4E9F422B6DB609039D22C,D23E3C702E05D6C36C74A3E0FB349705328DC9DF724BCC3F26394947574A9537,756C27249855E877258AB112B74F072813592704756B2D7CEB00E91E2708DEBD,18904211DED4B3627113E06219252EFB158D82DC0D98A9D4060451E9EC883CBB,6DBD17E2672E5710CC203A118C62F3E06DB0035C60E29527F6568C8B8B411F3B,756C27249855E877258AB112B74F072813592704756B2D7CEB00E91E2708DEBD,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33710593,changed,6,Lighting,,,PS,0x02026201,66B89D78AA95A38A55F4845783CC03B84882CE686FF53A2217760C19686C8CFE,401707576C3F65D1206D000D6B272ADDE09D54A9051F0D7F8059B26F48AC7C67,756C27249855E877258AB112B74F072813592704756B2D7CEB00E91E2708DEBD,ECD7279FE502442CDB00545862D7F26A8F5F3E19DABEEF8CC95FC9C6BE9F2666,F3A23738ED11211C63827C07027710A7CC8F1AB31C72A95D3C1088DA3A5EC5A1,756C27249855E877258AB112B74F072813592704756B2D7CEB00E91E2708DEBD,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33711105,changed,6,Lighting,,,PS,0x02026401,6744FC08F184FC9A9CA472DC17B7B649A79F63C485335A8C76C3A3C9CF82641A,01F208A5DDBC5C5E7BE9E0E3B51E98BAC119EADA1793694CA9CAE994D2247D81,38D456F6C62134FF7B4539CD3B751939530129D535472092F756721B9436FD0F,4F5ECAB47EC9C796B183DDDBAC188D8F6D29718CD04B82312374C4FD900A20ED,14A5972EBB9D6B643B9767B890B68D03B8141A41C57186117AD3BE4A5CFAB49C,38D456F6C62134FF7B4539CD3B751939530129D535472092F756721B9436FD0F,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33711617,changed,6,Lighting,,,PS,0x02026601,C72F6496857B74913B4AA2B24988792F3B3BE3C80E7E738763BC2BF33782252E,0A01CB66497C1D95DE9BE44EC629EEEF5E9CB6446B22A49673CEC11F21C34466,38D456F6C62134FF7B4539CD3B751939530129D535472092F756721B9436FD0F,B4FD6256B89B6D72697CCE5886376C53A056926384901F64CC5CCA2210F81DBC,9F804C0EADF889B4FB406BF1870D94D90B4E100C2088633719F4B6B51522FA4D,38D456F6C62134FF7B4539CD3B751939530129D535472092F756721B9436FD0F,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33712129,changed,6,Lighting,,,PS,0x02026801,802660B7A8327CF8D0128A5E2460C49A7796A40B5B4C53BC9DF8832B4917F850,76723D6C6C7CBDEC6BAF6D058A5F42B1E48854C497CAFCCAC6C2A154EE8C339A,38D456F6C62134FF7B4539CD3B751939530129D535472092F756721B9436FD0F,B4DB74E26C02A86150221B5B7B9C6C0771B6E1398ED03E9E2D2868641341C82A,0DC95117B107A13E73A4E6FAB6E6E9B55734D59AADEFA8811619798FBDEB4F18,38D456F6C62134FF7B4539CD3B751939530129D535472092F756721B9436FD0F,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33712641,changed,6,Lighting,,,PS,0x02026A01,401F7E6E5B02A8B103DE215265E9815147B0F52EC21C8647E956CC4D43E389AE,CBAB211C310034A1E0C9E5D3128BE66666E506605066CB9ECFA58362516D5938,38D456F6C62134FF7B4539CD3B751939530129D535472092F756721B9436FD0F,6A690DF41792EBC5038F264880D6A323CD9638C553EA36F738A6390246B4B99D,EDF2E1F9D65B1A3663CBE6BBF85399FE7F816997D31BD79DCC8777808DFC7DA6,38D456F6C62134FF7B4539CD3B751939530129D535472092F756721B9436FD0F,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
6|PS|33714177,changed,6,Lighting,,,PS,0x02027001,A799D06E968B08225439F1D598CC1D60CD820D989ACC64D0670C488FD888451F,A16281E914B333B75B5FBD83B9B8FAA879306FEEA2138288CEA08219C0F99C4E,E17761371BAC999A7D81D7318E3BC219E900884381945FFB2CA17B11477B897D,64A52EE8498426AA9F6115076F21A8836D7EB06386AA895C421E3CA6293D4866,F8B0804708F255956E4C075702EE03B22830EBCBAC7761D2E05DCF21FB20AF59,E17761371BAC999A7D81D7318E3BC219E900884381945FFB2CA17B11477B897D,package/Shaders/Lighting.hlsl,common authoritative-1.7 MRT source; no native adapter
